3:14:59 PM4887,-10.35217,122.2201,29.19732,-0.1078138,-0.9290659,-0.3538541,5.942183,106.0645,78.85875,-22.69117,96.03447,83.39629,-22.69117,96.03447,83.39629,-43.63906,89.88811,38.50558,-58.53441,85.87939,8.098868,-69.19012,84.32121,-6.133867,-14.31521,117.774,79.0239,-38.56919,134.516,11.61518,-46.05053,138.4144,-30.51082,-50.34461,136.6383,-54.23032,-53.25909,132.5315,-66.62473,-2.931063,119.7856,74.78451,-16.7239,135.5897,8.244585,-18.98146,142.7835,-39.36246,-21.50106,141.7093,-67.66663,-23.61038,137.0806,-81.67214,8.772456,118.6442,71.22724,5.736168,132.2541,10.15908,5.061598,139.1129,-33.98577,2.917911,137.7886,-61.57294,0.8678952,132.8284,-75.41702,19.99888,110.3154,68.55203,25.50571,124.3913,12.57144,31.65827,124.9459,-22.24395,32.85589,121.4163,-41.44431,32.36023,115.4055,-53.65327,0,0,-143.7878,167.4313,-2.155909
3:14:59 PM5144,-9.60278,124.7197,24.425,-0.1069099,-0.9303449,-0.3507542,6.570595,108.7446,74.18429,-22.07338,98.72964,78.68797,-22.07338,98.72964,78.68797,-42.88863,92.55788,33.73909,-57.30984,88.40814,3.123434,-67.68617,86.72507,-11.32604,-13.68761,120.4537,74.2575,-37.77717,136.9505,6.729492,-45.01602,141.1094,-35.41396,-49.18339,139.3965,-59.16069,-52.03016,135.2907,-71.59168,-2.2932,122.4504,70.03873,-15.92374,138.013,3.408519,-17.99078,145.6336,-44.14075,-20.40191,144.8088,-72.46273,-22.43005,140.2987,-86.51658,9.419038,121.2967,66.51427,6.531713,134.6855,5.390039,5.990644,141.7324,-38.72703,3.927978,140.5188,-66.32546,1.942299,135.6952,-80.20158,20.65231,112.9589,63.8967,26.29561,126.8325,7.87921,32.53903,127.7769,-26.91161,33.76271,124.3896,-46.13595,33.29835,118.4326,-58.3858,0,0,-143.7878,167.4313,-2.065221
3:14:59 PM5276,-9.623433,125.0436,23.20406,-0.1073609,-0.9295737,-0.352656,6.398201,108.958,72.97683,-22.27187,98.97713,77.38914,-22.27187,98.97713,77.38914,-42.98634,92.95309,32.37371,-57.27756,88.88457,1.686286,-67.57049,87.22551,-12.82996,-13.84303,120.6966,73.01832,-37.73421,137.3466,5.457414,-44.8135,141.7482,-36.68849,-48.90046,140.1513,-60.45727,-51.70853,136.0772,-72.91768,-2.434877,122.684,68.83244,-15.87076,138.3829,2.194643,-17.77938,146.2348,-45.3236,-20.10988,145.5273,-73.65552,-22.10148,141.0798,-87.73501,9.28472,121.5193,65.33616,6.574631,135.0191,4.228209,6.177225,142.3089,-39.85089,4.198801,141.2599,-67.46223,2.246819,136.505,-81.36971,20.51254,113.1697,62.73296,26.32056,127.1328,6.754566,32.655,128.2527,-28.01458,33.92041,124.9532,-47.25148,33.48064,119.0496,-59.52936,0,0,-143.7878,167.4313,-2.065221
3:14:59 PM5420,-9.151398,126.4419,20.4234,-0.1087987,-0.9292034,-0.353191,6.701307,110.3023,70.23277,-22.00514,100.3926,74.56844,-22.00514,100.3926,74.56844,-42.62528,94.50166,29.49213,-56.72164,90.48185,-1.291693,-66.88082,88.82622,-15.91297,-13.51027,122.0919,70.2254,-37.18522,138.8206,2.607855,-44.01369,143.6955,-39.52734,-47.97948,142.3255,-63.33078,-50.7289,138.2988,-75.84286,-2.086384,124.0516,66.06947,-15.31089,139.8026,-0.5983115,-17.00334,148.082,-48.05213,-19.23152,147.5881,-76.39679,-21.1826,143.2372,-90.51705,9.639203,122.8583,62.60307,7.120626,136.3815,1.492111,6.930755,144.233,-42.4918,5.081862,143.5906,-70.12457,3.168656,138.9878,-84.09693,20.85258,114.481,60.02646,26.84001,128.4447,4.067108,33.27407,129.9099,-30.6709,34.58564,126.7869,-49.93417,34.16681,120.98,-62.26296,0,0,-143.7878,167.4313,-2.067212
3:14:59 PM5543,-8.61086,128.0692,17.55007,-0.1089046,-0.9275825,-0.3573941,6.824395,111.7011,67.41596,-21.94242,101.8608,71.50246,-21.94242,101.8608,71.50246,-42.26111,96.25077,26.25377,-56.03373,92.38428,-4.695796,-66.01227,90.79763,-19.4588,-13.35185,123.5505,67.30212,-36.47525,140.5958,-0.4271263,-42.85542,146.1035,-42.55463,-46.59062,145.0191,-66.41004,-49.21348,141.0912,-79.00103,-1.891738,125.4915,63.23816,-14.57494,141.5247,-3.467532,-15.7757,150.4647,-50.81638,-17.74164,150.3176,-79.18436,-19.59262,146.1277,-93.37348,9.855687,124.2761,59.85435,7.830296,138.0295,-1.223556,8.082062,146.6488,-45.06316,6.488696,146.4818,-72.7188,4.680072,142.0933,-86.78237,21.06321,115.8751,57.33017,27.50664,130.025,1.468318,34.21746,132.0007,-33.19196,35.66868,129.139,-52.48577,35.32627,123.4834,-64.89256,0,0,-143.7878,167.4313,-1.969605
3:14:59 PM5751,-5.789458,131.776,13.5911,-0.1149015,-0.9242787,-0.3640144,9.14829,114.9538,63.45738,-19.73509,105.353,67.28294,-19.73509,105.353,67.28294,-39.82525,100.3227,21.86435,-53.21571,96.77593,-9.290525,-62.95778,95.33887,-24.23873,-10.91739,126.9887,63.27962,-33.41239,144.671,-4.497942,-39.26017,151.1233,-46.56859,-42.74753,150.4899,-70.47769,-45.2633,146.7447,-83.16869,0.5879834,128.8498,59.30715,-11.48388,145.4175,-7.381328,-12.15579,155.457,-54.51981,-13.84751,156.0316,-82.90003,-15.58496,152.1527,-97.19633,12.34704,127.5477,55.99678,10.87229,141.7025,-5.005151,11.5971,151.3627,-48.62193,10.23309,151.8168,-76.2866,8.515456,147.7324,-90.46062,23.49449,119.06,53.49668,30.45536,133.5006,-2.228521,37.44078,136.3237,-36.77569,39.0078,133.9108,-56.12173,38.70837,128.4891,-68.64944,0,0,-143.7878,167.4313,-1.697635
3:14:59 PM5879,-3.085012,135.2649,10.46665,-0.1165892,-0.921912,-0.3694392,11.47578,118.1251,60.33626,-17.47092,108.6284,63.93635,-17.47092,108.6284,63.93635,-37.32393,103.9744,18.37358,-50.42496,100.6413,-12.92759,-59.97668,99.29527,-28.00894,-8.537224,130.2464,60.09779,-30.54178,148.3698,-7.72422,-35.98945,155.3278,-49.76798,-39.27516,154.9443,-73.71094,-41.71827,151.309,-86.45731,3.000032,132.0785,56.20515,-8.593075,149.0374,-10.46995,-8.885084,159.656,-57.48524,-10.35778,160.6476,-85.86617,-11.99489,156.9751,-100.2229,14.7735,130.7431,52.95994,13.73218,145.2148,-7.976532,14.79256,155.6277,-51.41286,13.62599,156.5921,-79.07349,12.00425,152.6706,-93.32513,25.89996,122.2207,50.48442,33.26294,136.9153,-5.122578,40.45646,140.233,-39.58298,42.11486,138.0706,-58.951,41.87567,132.7687,-71.54137,0,0,-143.7878,167.4313,-1.43694
3:15:00 PM6030,-0.9461567,138.1641,6.748007,-0.123011,-0.9186272,-0.3754895,13.13979,120.6008,56.60666,-15.91753,111.3594,59.97238,-15.91753,111.3594,59.97238,-35.64687,107.3015,14.29904,-48.36902,104.2705,-17.18858,-57.51491,103.0168,-32.5156,-6.755569,132.9131,56.31453,-28.16335,151.6337,-11.53627,-33.02952,159.391,-53.51142,-36.03993,159.4096,-77.49361,-38.40844,155.9772,-90.31779,4.82262,134.6577,52.50408,-6.192577,152.1082,-14.14214,-5.923158,163.9543,-60.86339,-7.145493,165.5697,-89.22755,-8.699832,162.125,-103.6823,16.60294,133.2289,49.32413,16.07944,148.0592,-11.53274,17.54493,159.9458,-54.57722,16.63512,162.0167,-82.18671,15.14968,158.5237,-96.57793,27.66338,124.6154,46.8682,35.51246,139.558,-8.606062,42.951,143.8291,-42.90911,44.71772,142.1876,-62.31866,44.51819,137.1306,-75.0296,0,0,-143.7878,167.4313,-1.230765
3:15:00 PM6158,-0.2114586,139.4543,4.395679,-0.1299542,-0.9188058,-0.3727033,13.86119,121.9334,54.27303,-15.25029,112.8964,57.72467,-15.25029,112.8964,57.72467,-35.23462,108.9472,12.15279,-47.85178,105.8852,-19.37405,-56.75195,104.5896,-34.83367,-5.951766,134.3781,53.98845,-27.37612,153.0561,-13.86886,-32.03996,161.2759,-55.77889,-34.98447,161.4258,-79.7688,-37.36425,158.0326,-92.61759,5.629824,136.0345,50.14911,-5.408186,153.376,-16.52179,-4.97502,165.9219,-63.05878,-6.190521,167.7783,-91.40847,-7.790698,164.3994,-105.9013,17.3936,134.5181,46.94857,16.84163,149.1848,-13.94765,18.40642,161.8494,-56.76618,17.52558,164.4434,-84.3324,16.02058,161.2613,-98.78211,28.39087,125.8239,44.49332,36.22334,140.5615,-11.03808,43.72979,145.5581,-45.22815,45.51468,144.3058,-64.66504,45.23711,139.4234,-77.46664,0,0,-143.7878,167.4313,-1.159944
3:15:00 PM6289,-0.01151182,140.1251,3.457401,-0.1317728,-0.920262,-0.3684479,14.13121,122.8047,53.38491,-14.985,113.819,56.92936,-14.985,113.819,56.92936,-35.12352,109.7478,11.43616,-47.6921,106.5442,-20.09601,-56.46096,105.1564,-35.61862,-5.666869,135.2726,53.08231,-27.19291,153.6808,-14.81653,-31.81832,161.943,-56.72249,-34.75602,162.0473,-80.71348,-37.14569,158.6314,-93.55754,5.909676,136.8978,49.21455,-5.229517,153.9618,-17.5111,-4.802889,166.7166,-63.99133,-6.058677,168.598,-92.33762,-7.674464,165.2088,-106.8359,17.66566,135.3529,45.9991,17.01981,149.7543,-14.95949,18.58264,162.6112,-57.72074,17.71058,165.3837,-85.26985,16.19338,162.3313,-99.73293,28.64767,126.6344,43.56168,36.39618,141.1198,-12.04782,43.87959,146.3564,-46.20699,45.65081,145.2281,-65.65272,45.34948,140.4107,-78.48105,0,0,-143.7878,167.4313,-1.159944
